Date	2023年01月06日金曜日 11時57分26秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	4
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
297.331	0.000000
297.699	0.000000
298.066	0.968792
298.434	0.848536
298.801	0.648843
299.168	0.658027
299.536	0.741463
299.903	0.797695
300.270	1.060833
300.638	0.691571
301.005	0.643430
301.372	0.687833
301.739	0.667297
302.106	0.666107
302.473	0.603535
302.840	0.570804
303.207	0.553081
303.574	0.461322
303.941	0.519009
304.308	0.538983
304.675	0.564610
305.042	0.567878
305.409	0.599934
305.776	0.744101
306.143	0.809643
306.509	0.926466
306.876	1.184786
307.243	1.047115
307.610	1.071954
307.976	1.159099
308.343	1.306331
308.709	0.000000
309.076	1.397823
309.442	1.699686
309.809	1.329771
310.175	1.949623
310.542	0.000000
310.908	2.078623
311.275	1.644490
311.641	1.672001
312.007	1.803043
312.373	2.848211
312.740	2.100109
313.106	0.000000
313.472	2.032698
313.838	1.921576
314.204	2.068836
314.570	2.448670
314.936	2.190260
315.302	2.313780
315.668	2.331517
316.034	2.164385
316.400	2.628248
316.766	0.000000
317.132	0.000000
317.498	0.000000
317.864	0.000000
318.230	0.000000
318.595	2.489099
318.961	2.163261
319.327	2.254584
319.692	2.229350
320.058	1.924995
320.424	2.125080
320.789	2.003147
321.155	1.992614
321.520	2.326661
321.886	2.303725
322.251	2.621081
322.616	2.701541
322.982	2.747288
323.347	0.000000
323.712	0.000000
324.078	2.867605
324.443	2.603492
324.808	2.306681
325.173	2.232858
325.539	2.298522
325.904	2.226162
326.269	2.091709
326.634	2.063445
326.999	2.151144
327.364	2.220055
327.729	2.244694
328.094	2.377942
328.459	2.412128
328.823	2.259230
329.188	2.293565
329.553	2.345759
329.918	2.307964
330.283	2.314862
330.647	2.336870
331.012	2.532333
331.377	2.406829
331.741	2.446048
332.106	2.516327
332.470	2.859478
332.835	3.284780
333.199	3.415921
333.564	2.709694
333.928	2.687070
334.293	2.494001
334.657	2.512941
335.021	2.556691
335.386	2.702850
335.750	2.520587
336.114	2.347563
336.478	2.341765
336.843	2.426360
337.207	2.463533
337.571	2.442508
337.935	2.486352
338.299	2.545708
338.663	2.410584
339.027	2.391894
339.391	2.484131
339.755	2.550462
340.119	2.537726
340.483	2.631124
340.846	2.651046
341.210	2.625966
341.574	2.450211
341.938	2.537742
342.301	2.607632
342.665	2.577201
343.029	2.576351
343.392	2.577773
343.756	2.468228
344.119	2.522540
344.483	2.476460
344.846	2.551594
345.210	2.537128
345.573	2.471097
345.937	2.522630
346.300	2.518664
346.663	2.408266
347.027	2.479693
347.390	2.447836
347.753	2.471300
348.116	2.432164
348.479	2.413635
348.843	2.427873
349.206	2.421368
349.569	2.479981
349.932	2.480201
350.295	2.418439
350.658	2.431048
351.021	2.449636
351.383	2.415631
351.746	2.409457
352.109	2.363540
352.472	2.435959
352.835	2.383172
353.197	2.480678
353.560	2.457789
353.923	2.444786
354.285	2.430420
354.648	2.531659
355.011	2.607847
355.373	2.633990
355.736	2.510440
356.098	2.530596
356.461	2.426220
356.823	2.499726
357.185	2.486952
357.548	2.495644
357.910	2.466829
358.272	2.402125
358.635	2.489774
358.997	2.486708
359.359	2.434448
359.721	2.560729
360.083	2.555181
360.445	2.525403
360.807	2.503393
361.169	2.445810
361.531	2.445378
361.893	2.406782
362.255	2.379034
362.617	2.381340
362.979	2.318389
363.341	2.333748
363.703	2.362170
364.064	2.370006
364.426	2.457154
364.788	2.510235
365.149	2.476080
365.511	2.494822
365.873	2.483490
366.234	2.503042
366.596	2.510080
366.957	2.550860
367.319	2.520467
367.680	2.475156
368.042	2.455646
368.403	2.514525
368.764	2.488468
369.126	2.471813
369.487	2.440441
369.848	2.410447
370.209	2.405284
370.570	2.401261
370.931	2.450326
371.293	2.429361
371.654	2.457580
