Date	2022年12月21日水曜日 09時35分47秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	0.000000
192.166	0.000000
192.542	0.000000
192.917	0.000000
193.293	0.633844
193.668	0.000000
194.044	0.000000
194.419	0.955290
194.794	0.000000
195.170	0.000000
195.545	0.000000
195.920	0.000000
196.296	0.000000
196.671	0.000000
197.046	0.988611
197.421	0.000000
197.796	0.000000
198.171	0.000000
198.546	0.000000
198.922	0.000000
199.297	0.000000
199.672	0.000000
200.047	0.381583
200.422	0.444376
200.796	0.000000
201.171	0.000000
201.546	0.000000
201.921	0.000000
202.296	0.000000
202.671	0.000000
203.045	-0.314412
203.420	0.231480
203.795	0.262838
204.170	0.176936
204.544	0.000000
204.919	0.000000
205.294	-0.394616
205.668	0.000000
206.043	0.000000
206.417	-0.078619
206.792	0.000000
207.166	0.444191
207.541	-0.065216
207.915	0.245600
208.289	0.232337
208.664	0.512868
209.038	1.509971
209.412	0.460227
209.787	0.000000
210.161	0.000000
210.535	0.000000
210.909	0.000000
211.284	0.000000
211.658	0.000000
212.032	0.714426
212.406	0.000000
212.780	0.000000
213.154	0.000000
213.528	0.000000
213.902	-0.056530
214.276	0.000000
214.650	0.000000
215.024	0.000000
215.398	-0.285186
215.772	0.000000
216.145	0.000000
216.519	-0.083969
216.893	0.000000
217.267	0.000000
217.640	0.000000
218.014	0.000000
218.388	0.000000
218.761	0.000000
219.135	0.000000
219.508	1.329863
219.882	1.208055
220.256	0.384324
220.629	0.236119
221.003	0.000000
221.376	0.000000
221.749	0.000000
222.123	0.030949
222.496	0.220167
222.869	0.543561
223.243	-0.132062
223.616	0.664425
223.989	0.000000
224.362	0.599658
224.736	0.000000
225.109	0.000000
225.482	0.451101
225.855	0.000000
226.228	0.000000
226.601	0.000000
226.974	0.045099
227.347	0.000000
227.720	0.000000
228.093	0.000000
228.466	0.000000
