Date	2022年08月06日土曜日 12時58分22秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	1000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
296.596	0.000000
296.964	0.368191
297.331	0.328962
297.699	0.000000
298.066	0.537530
298.434	0.000000
298.801	0.000000
299.168	0.900693
299.536	0.000000
299.903	0.000000
300.270	0.000000
300.638	2.094801
301.005	1.352108
301.372	0.408620
301.739	1.082886
302.106	0.983969
302.473	0.540542
302.840	0.000000
303.207	0.000000
303.574	0.000000
303.941	0.554567
304.308	0.669740
304.675	0.612647
305.042	1.260534
305.409	0.829432
305.776	1.462665
306.143	0.000000
306.509	0.000000
306.876	0.000000
307.243	0.000000
307.610	0.000000
307.976	0.000000
308.343	0.000000
308.709	0.689101
309.076	0.000000
309.442	0.951810
309.809	0.000000
310.175	0.000000
310.542	1.321415
310.908	0.000000
311.275	1.018402
311.641	0.000000
312.007	0.000000
312.373	2.268129
312.740	1.254108
313.106	1.281032
313.472	0.000000
313.838	0.000000
314.204	0.000000
314.570	2.633036
314.936	0.000000
315.302	0.000000
315.668	0.000000
316.034	0.000000
316.400	1.656128
316.766	0.000000
317.132	0.000000
317.498	0.000000
317.864	0.000000
318.230	0.000000
318.595	2.038199
318.961	2.021880
319.327	1.472719
319.692	1.920380
320.058	0.000000
320.424	2.615699
320.789	0.000000
321.155	2.101268
321.520	0.000000
321.886	1.766338
322.251	0.000000
322.616	0.000000
322.982	1.963049
323.347	2.165282
323.712	2.002396
324.078	4.108945
324.443	2.660745
324.808	0.000000
325.173	0.000000
325.539	2.022818
325.904	2.120878
326.269	2.402188
326.634	0.000000
326.999	0.000000
327.364	0.000000
327.729	0.000000
328.094	2.428914
328.459	0.000000
328.823	2.306210
329.188	0.000000
329.553	2.696401
329.918	0.000000
330.283	2.658810
330.647	2.222589
331.012	0.000000
331.377	0.000000
331.741	2.194874
332.106	3.319069
332.470	2.282441
332.835	2.159431
333.199	2.730312
333.564	0.000000
333.928	0.000000
334.293	0.000000
334.657	2.886594
335.021	0.000000
335.386	2.890151
335.750	3.476731
336.114	2.927780
336.478	0.000000
336.843	0.000000
337.207	2.249245
337.571	2.814115
337.935	2.532907
338.299	2.243903
338.663	2.765830
339.027	2.316941
339.391	2.996400
339.755	3.872218
340.119	2.776412
340.483	2.599975
340.846	0.000000
341.210	2.459107
341.574	2.875198
341.938	2.382713
342.301	2.119641
342.665	2.322550
343.029	0.000000
343.392	2.251910
343.756	2.608591
344.119	4.382916
344.483	3.227054
344.846	2.338884
345.210	2.699799
345.573	2.802417
345.937	2.988491
346.300	2.705888
346.663	3.601577
347.027	2.819119
347.390	2.416154
347.753	2.638356
348.116	0.000000
348.479	2.314707
348.843	2.483424
349.206	2.775166
349.569	0.000000
349.932	2.226874
350.295	2.613269
350.658	3.285003
351.021	2.666197
351.383	2.662490
351.746	2.783193
352.109	2.575382
352.472	2.241077
352.835	2.599070
353.197	3.003081
353.560	2.335241
353.923	2.442225
354.285	2.071135
354.648	2.758034
355.011	0.000000
355.373	2.506190
355.736	2.369869
356.098	2.513931
356.461	2.559066
356.823	2.440087
357.185	2.276706
357.548	2.594109
357.910	2.306808
358.272	2.392278
358.635	2.274537
358.997	2.578796
359.359	2.281597
359.721	2.400833
360.083	2.193072
360.445	2.311562
360.807	2.524364
361.169	2.963512
361.531	2.583334
361.893	2.317683
362.255	2.735943
362.617	2.278954
362.979	2.261422
363.341	3.096081
363.703	2.454715
364.064	2.217854
364.426	2.332202
364.788	3.422184
365.149	2.989739
365.511	2.401003
365.873	2.511914
366.234	2.432376
366.596	2.227964
366.957	2.393319
367.319	2.454259
367.680	2.786643
368.042	2.608537
368.403	2.334809
368.764	2.274328
369.126	2.304910
369.487	2.236604
369.848	3.606233
370.209	2.386194
370.570	2.662610
370.931	2.258814
371.293	2.430980
371.654	2.265276
372.015	2.631711
372.376	2.370575
372.737	3.212978
373.098	2.395009
373.458	2.202653
373.819	2.234362
374.180	2.741411
374.541	2.584051
374.902	2.759634
375.263	3.699700
375.623	2.410354
375.984	2.366404
376.345	2.386085
376.705	2.179505
377.066	2.493924
377.426	2.099532
377.787	2.964110
378.147	2.715506
378.508	2.989091
378.868	2.407045
379.228	2.949220
379.589	2.576106
379.949	2.433219
380.309	0.000000
380.670	2.240717
381.030	2.413162
381.390	2.888230
381.750	2.156195
382.110	2.389765
382.470	2.926367
382.830	2.474565
383.190	3.020243
383.550	2.522112
383.910	2.843512
384.270	2.966975
384.630	2.376958
384.990	2.304894
385.350	2.619847
385.709	2.768011
386.069	3.243637
386.429	2.284012
386.788	2.328423
387.148	0.000000
387.508	2.461459
387.867	0.000000
388.227	2.482771
388.586	2.720711
388.946	2.464655
389.305	2.482942
389.665	2.520701
390.024	2.437796
390.383	2.269327
390.743	2.402040
391.102	2.909541
391.461	2.832953
391.820	2.368570
392.179	2.381514
392.539	2.766940
392.898	2.515468
393.257	2.333365
393.616	2.502889
393.975	2.325248
394.334	2.490467
394.693	2.418595
395.051	2.601110
395.410	2.489658
395.769	2.281045
396.128	0.000000
396.487	2.480895
396.845	2.900421
397.204	2.323835
397.563	2.437913
397.921	2.579843
398.280	2.849795
398.638	2.414098
398.997	2.845385
399.355	2.732369
399.714	2.473985
400.072	2.717026
400.431	3.717835
400.789	2.133680
401.147	2.332268
401.506	2.234493
401.864	2.531978
402.222	2.759341
402.580	0.000000
402.938	2.423161
403.297	2.235006
403.655	2.728126
404.013	2.312656
404.371	2.379854
404.729	2.484669
405.087	2.519183
405.444	2.276484
405.802	2.260405
406.160	2.524755
406.518	2.313035
406.876	2.654249
407.233	2.689868
407.591	2.445200
407.949	2.426946
408.306	3.733153
408.664	2.550463
409.022	2.544868
409.379	2.643296
409.737	2.118295
410.094	2.295243
410.451	2.442174
410.809	2.926496
411.166	2.293354
411.523	2.366353
411.881	2.263699
412.238	2.261987
412.595	2.263505
412.952	2.148090
413.310	2.356924
413.667	2.165062
414.024	2.278786
414.381	2.252148
414.738	2.286188
415.095	2.750328
415.452	2.301323
415.809	2.931492
416.165	2.509221
416.522	2.299793
416.879	2.711035
417.236	1.996112
417.593	2.193025
417.949	2.119169
418.306	2.218823
418.663	2.184124
419.019	2.197198
419.376	2.532095
419.732	2.390985
420.089	2.469568
420.445	2.130305
420.802	2.398964
421.158	3.137146
421.514	2.272485
421.871	2.365043
422.227	2.178773
422.583	2.310156
422.939	2.478946
423.295	2.397406
423.652	2.423784
424.008	2.378588
424.364	2.272032
424.720	2.492547
425.076	2.175196
425.432	2.160100
425.788	2.123709
426.143	2.633037
426.499	2.197529
426.855	2.375853
427.211	2.168851
427.567	2.154436
427.922	2.266221
428.278	2.379986
428.634	2.408617
428.989	2.191219
429.345	2.209820
429.700	2.203159
430.056	2.075859
430.411	2.574864
430.767	2.091290
431.122	2.272613
431.478	2.622730
431.833	2.179050
432.188	2.204473
432.543	2.455249
432.899	2.120570
433.254	2.282820
433.609	2.230381
433.964	2.216276
434.319	2.163028
434.674	2.093255
435.029	2.325169
435.384	2.355877
435.739	2.099840
436.094	2.145030
436.449	2.386193
436.804	2.202177
437.158	1.995267
437.513	2.333369
437.868	2.325805
438.223	2.418140
438.577	2.165691
438.932	2.224923
439.287	2.073058
439.641	2.247771
439.996	2.166888
440.350	2.081107
