Date	2022年08月06日土曜日 12時55分02秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	1000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	0.312293
192.166	0.000000
192.542	0.401232
192.917	0.383349
193.293	0.124583
193.668	0.701342
194.044	0.447538
194.419	0.000000
194.794	-0.127803
195.170	-0.024138
195.545	0.000000
195.920	0.371559
196.296	0.000000
196.671	0.000000
197.046	1.097845
197.421	0.000000
197.796	-0.134270
198.171	0.000000
198.546	0.000000
198.922	0.000000
199.297	0.000000
199.672	0.000000
200.047	0.000000
200.422	0.000000
200.796	0.000000
201.171	-0.086877
201.546	0.000000
201.921	-0.713901
202.296	0.000000
202.671	0.411985
203.045	0.326588
203.420	0.052870
203.795	0.000000
204.170	-0.833304
204.544	0.000000
204.919	0.000000
205.294	0.000000
205.668	0.000000
206.043	0.358873
206.417	0.000000
206.792	0.000000
207.166	0.233998
207.541	0.000000
207.915	0.607544
208.289	0.000000
208.664	1.128269
209.038	0.440651
209.412	0.000000
209.787	0.415672
210.161	0.000000
210.535	0.000000
210.909	0.000000
211.284	0.000000
211.658	0.000000
212.032	0.000000
212.406	-1.043629
212.780	0.000000
213.154	1.126791
213.528	0.000000
213.902	0.000000
214.276	0.000000
214.650	0.454339
215.024	0.000000
215.398	0.365318
215.772	0.000000
216.145	0.000000
216.519	0.000000
216.893	0.403941
217.267	0.000000
217.640	0.000000
218.014	0.636208
218.388	0.000000
218.761	0.000000
219.135	0.000000
219.508	0.000000
219.882	0.412938
220.256	0.564261
220.629	0.000000
221.003	0.000000
221.376	0.109626
221.749	0.000000
222.123	0.000000
222.496	0.000000
222.869	0.000000
223.243	-0.142229
223.616	0.479402
223.989	0.047917
224.362	0.000000
224.736	-0.059367
225.109	1.115130
225.482	0.000000
225.855	0.212122
226.228	0.000000
226.601	-0.191668
226.974	0.000000
227.347	0.000000
227.720	0.000000
228.093	1.000723
