Date	2023年05月19日金曜日 04時47分40秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[usec]	1800
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
313.472	0.000000
313.838	2.296379
314.204	4.201389
314.570	2.164215
314.936	2.116635
315.302	2.137690
315.668	2.377115
316.034	3.955551
316.400	2.175475
316.766	0.000000
317.132	2.306230
317.498	2.348761
317.864	2.507832
318.230	2.270518
318.595	2.450339
318.961	2.277395
319.327	3.187473
319.692	2.371075
320.058	2.206778
320.424	2.299777
320.789	0.000000
321.155	2.365704
321.520	2.448361
321.886	2.172791
322.251	2.191953
322.616	2.868398
322.982	2.521822
323.347	2.842779
323.712	2.639958
324.078	2.302417
324.443	2.204574
324.808	2.830199
325.173	2.269507
325.539	2.222703
325.904	2.371013
326.269	2.639364
326.634	2.567608
326.999	2.250130
327.364	2.466195
327.729	2.416330
328.094	2.512983
328.459	2.909998
328.823	2.309966
329.188	2.315876
329.553	2.596365
329.918	2.357562
330.283	2.260572
330.647	2.322495
331.012	2.456277
331.377	2.471265
331.741	2.943705
332.106	2.367547
332.470	2.775031
332.835	2.409073
333.199	2.419527
333.564	2.415672
333.928	2.526363
334.293	2.448642
334.657	2.532442
335.021	2.341574
335.386	2.272785
335.750	2.168422
336.114	2.343699
336.478	2.327608
336.843	2.395790
337.207	2.325348
337.571	2.397696
337.935	2.337866
338.299	2.416809
338.663	2.272483
339.027	2.479556
339.391	2.311008
339.755	2.336546
340.119	2.310261
340.483	2.260292
340.846	2.475127
341.210	2.276696
341.574	2.282982
341.938	2.465484
342.301	2.349577
342.665	2.316456
343.029	2.257676
343.392	2.317955
343.756	2.223011
344.119	2.353160
344.483	2.240182
344.846	2.399514
345.210	2.256126
345.573	2.329172
345.937	2.364139
346.300	2.351973
346.663	2.252170
347.027	2.300668
347.390	2.327194
347.753	2.305144
348.116	2.338339
348.479	2.357873
348.843	2.236904
349.206	2.335046
349.569	2.355088
349.932	2.341099
350.295	2.430267
350.658	2.350646
351.021	2.180931
351.383	2.379563
351.746	2.311547
352.109	2.341520
352.472	2.375063
352.835	2.249707
353.197	2.403975
353.560	2.340567
353.923	2.238980
354.285	2.251442
354.648	2.325635
355.011	2.328637
355.373	2.351077
355.736	2.276467
356.098	2.278337
356.461	2.237909
356.823	2.276282
357.185	2.382777
357.548	2.302958
357.910	2.318715
358.272	2.274891
358.635	2.314224
358.997	2.303180
359.359	2.295380
359.721	2.280908
360.083	2.313747
360.445	2.331402
360.807	2.371478
361.169	2.219718
361.531	2.280389
361.893	2.312813
362.255	2.363361
362.617	2.413942
362.979	2.336696
363.341	2.195932
363.703	2.351522
364.064	2.267719
364.426	2.217032
364.788	2.332516
365.149	2.220129
365.511	2.347535
365.873	2.249640
366.234	2.309646
366.596	2.353369
366.957	2.265729
367.319	2.310558
367.680	2.293597
368.042	2.371908
368.403	2.370200
368.764	2.393922
369.126	2.325725
369.487	2.233701
369.848	2.331791
370.209	2.374811
370.570	2.224148
370.931	2.242214
371.293	2.322450
371.654	2.275542
372.015	2.226347
372.376	2.304469
372.737	2.237803
373.098	2.251435
373.458	2.277834
373.819	2.269280
374.180	2.330254
374.541	2.226750
374.902	2.286082
375.263	2.283209
375.623	2.238621
375.984	2.220497
376.345	2.222288
376.705	2.307774
377.066	2.334852
377.426	2.418030
377.787	2.363448
378.147	2.287830
378.508	2.194274
378.868	2.234957
379.228	2.338192
379.589	2.227945
379.949	2.286092
380.309	2.259980
380.670	2.299671
381.030	2.329973
381.390	2.362424
381.750	2.392842
382.110	2.292859
382.470	2.268715
382.830	2.252069
383.190	2.332884
383.550	2.220096
383.910	2.315613
384.270	2.285254
384.630	2.262884
384.990	2.228405
385.350	2.311396
385.709	2.220088
386.069	2.228080
386.429	2.366628
386.788	2.273708
387.148	2.260283
387.508	2.362007
387.867	2.207971
388.227	2.263221
388.586	2.256035
388.946	2.352312
389.305	2.286223
389.665	2.233083
390.024	2.293388
390.383	2.266740
390.743	2.251196
391.102	2.371035
391.461	2.286030
391.820	2.190559
392.179	2.253309
392.539	2.314889
392.898	2.253495
393.257	2.272497
393.616	2.208785
393.975	2.171294
394.334	2.285867
394.693	2.296046
395.051	2.272771
395.410	2.265203
395.769	2.258598
396.128	2.225904
396.487	2.188978
396.845	2.296492
397.204	2.260252
397.563	2.266460
397.921	2.373011
398.280	2.243486
398.638	2.244619
398.997	2.347091
399.355	2.291224
399.714	2.184048
400.072	2.250524
400.431	2.205263
400.789	2.215897
401.147	2.204281
401.506	2.341560
401.864	2.247118
402.222	2.229713
402.580	2.211512
402.938	2.205322
403.297	2.219713
403.655	2.206012
404.013	2.210451
404.371	2.151173
404.729	2.189174
405.087	2.178207
405.444	2.219501
405.802	2.180657
406.160	2.222721
406.518	2.232284
406.876	2.274493
407.233	2.244187
407.591	2.321590
407.949	2.213488
408.306	2.187261
408.664	2.160358
409.022	2.187611
409.379	2.232183
409.737	2.137675
410.094	2.106352
410.451	2.107051
410.809	2.207991
411.166	2.218606
411.523	2.186442
411.881	2.110732
412.238	2.135627
412.595	2.130672
412.952	2.179218
413.310	2.142857
413.667	2.192533
414.024	2.137307
414.381	2.194380
414.738	2.115236
415.095	2.102892
415.452	2.097232
415.809	2.120826
416.165	2.156574
416.522	2.059281
416.879	2.095403
417.236	2.069433
417.593	2.019196
417.949	2.074846
418.306	2.105207
418.663	2.114643
419.019	2.073720
419.376	2.048502
419.732	2.084684
