Date	2022年12月21日水曜日 09時26分15秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
297.331	1.081571
297.699	0.000000
298.066	0.000000
298.434	0.792641
298.801	0.000000
299.168	0.000000
299.536	1.245328
299.903	0.000000
300.270	0.871070
300.638	0.832109
301.005	0.000000
301.372	0.000000
301.739	0.000000
302.106	1.901467
302.473	1.053980
302.840	0.000000
303.207	0.000000
303.574	1.107982
303.941	0.000000
304.308	0.000000
304.675	0.000000
305.042	0.000000
305.409	0.000000
305.776	0.000000
306.143	0.000000
306.509	1.360699
306.876	1.967671
307.243	0.000000
307.610	0.000000
307.976	0.000000
308.343	0.000000
308.709	0.000000
309.076	1.155417
309.442	1.338842
309.809	3.138780
310.175	1.427510
310.542	2.571208
310.908	1.425350
311.275	1.390763
311.641	1.316780
312.007	1.578534
312.373	0.000000
312.740	1.813791
313.106	1.302487
313.472	1.584149
313.838	1.743857
314.204	1.287483
314.570	1.441787
314.936	1.589906
315.302	1.847794
315.668	1.416976
316.034	1.659695
316.400	2.146096
316.766	1.640557
317.132	1.495995
317.498	1.535919
317.864	1.591540
318.230	1.606946
318.595	1.504427
318.961	1.683905
319.327	1.643473
319.692	1.639611
320.058	1.662171
320.424	1.725129
320.789	1.611580
321.155	1.616971
321.520	1.515559
321.886	1.693878
322.251	1.628792
322.616	1.775060
322.982	1.513622
323.347	1.737139
323.712	1.650493
324.078	1.685285
324.443	1.771214
324.808	1.593544
325.173	1.672409
325.539	1.686250
325.904	1.677669
326.269	1.661231
326.634	1.745432
326.999	1.712329
327.364	1.655131
327.729	1.693576
328.094	1.659272
328.459	1.683363
328.823	1.755955
329.188	1.661749
329.553	1.709186
329.918	1.677910
330.283	1.651248
330.647	1.631319
331.012	1.672720
331.377	1.712496
331.741	1.712207
332.106	1.717319
332.470	1.717495
332.835	1.735183
333.199	1.698771
333.564	1.671080
333.928	1.706532
334.293	1.728577
334.657	1.699037
335.021	1.705511
335.386	1.672801
335.750	1.727894
336.114	1.719149
336.478	1.692064
336.843	1.699342
337.207	1.715739
337.571	1.705023
337.935	1.668857
338.299	1.672699
338.663	1.733230
339.027	1.686165
339.391	1.685143
339.755	1.669859
340.119	1.671072
340.483	1.679298
340.846	1.645191
341.210	1.661644
341.574	1.690195
341.938	1.684016
342.301	1.662936
342.665	1.663824
343.029	1.645005
343.392	1.697922
343.756	1.637827
344.119	1.655121
344.483	1.667131
344.846	1.646935
345.210	1.654800
345.573	1.653796
345.937	1.651657
346.300	1.664678
346.663	1.651685
347.027	1.644673
347.390	1.687416
347.753	1.692721
348.116	1.655466
348.479	1.662718
348.843	1.661975
349.206	1.625330
349.569	1.703174
349.932	1.676814
350.295	1.674237
350.658	1.670766
351.021	1.676572
351.383	1.661679
351.746	1.652424
352.109	1.638028
352.472	1.660760
352.835	1.695766
353.197	1.626725
353.560	1.697134
353.923	1.687576
354.285	1.673101
354.648	1.698446
355.011	1.689508
355.373	1.649794
355.736	1.644392
356.098	1.653373
356.461	1.669494
356.823	1.633527
357.185	1.664875
357.548	1.668442
357.910	1.656334
358.272	1.676509
358.635	1.672661
358.997	1.664031
359.359	1.676104
359.721	1.677270
360.083	1.677184
360.445	1.674842
360.807	1.698811
361.169	1.683976
361.531	1.651644
361.893	1.669579
362.255	1.701431
362.617	1.674312
362.979	1.656908
363.341	1.652808
363.703	1.667280
364.064	1.667384
364.426	1.669086
364.788	1.668662
365.149	1.671500
365.511	1.673015
365.873	1.692252
366.234	1.684685
366.596	1.661990
366.957	1.682178
367.319	1.678132
367.680	1.694351
368.042	1.684807
368.403	1.677981
368.764	1.677718
369.126	1.698798
369.487	1.659388
369.848	1.676968
370.209	1.660030
370.570	1.680535
370.931	1.677352
371.293	1.678589
371.654	1.676405
372.015	1.685183
372.376	1.668390
372.737	1.662871
373.098	1.664629
373.458	1.695629
373.819	1.683130
374.180	1.645974
374.541	1.689270
374.902	1.661860
375.263	1.669722
375.623	1.684859
375.984	1.676765
376.345	1.661536
376.705	1.690818
377.066	1.670023
377.426	1.702302
377.787	1.689956
378.147	1.687507
378.508	1.673095
378.868	1.672154
379.228	1.674446
379.589	1.668560
379.949	1.683383
380.309	1.665182
380.670	1.658392
381.030	1.658843
381.390	1.677228
381.750	1.670855
382.110	1.676642
382.470	1.678946
382.830	1.684862
383.190	1.670991
383.550	1.681296
383.910	1.693748
384.270	1.680433
384.630	1.695834
384.990	1.705812
385.350	1.700253
385.709	1.715625
386.069	1.699974
386.429	1.679960
386.788	1.680626
387.148	1.676286
387.508	1.694000
387.867	1.676089
388.227	1.685354
388.586	1.671689
388.946	1.671246
389.305	1.684631
389.665	1.689666
390.024	1.690053
390.383	1.674833
390.743	1.704494
391.102	1.703161
391.461	1.651989
391.820	1.688989
392.179	1.695693
392.539	1.698447
392.898	1.682711
393.257	1.691075
393.616	1.693814
393.975	1.708307
394.334	1.711902
394.693	1.687508
395.051	1.707675
395.410	1.678555
395.769	1.680717
396.128	1.692488
396.487	1.694160
396.845	1.694628
397.204	1.677286
397.563	1.698478
397.921	1.712400
398.280	1.684181
398.638	1.684335
398.997	1.702119
399.355	1.699915
399.714	1.717421
400.072	1.698368
400.431	1.660369
400.789	1.688128
401.147	1.681532
401.506	1.674319
401.864	1.684626
402.222	1.675390
402.580	1.711462
402.938	1.717693
403.297	1.700871
403.655	1.668093
404.013	1.684014
404.371	1.698081
404.729	1.692226
405.087	1.674916
405.444	1.688086
405.802	1.709293
406.160	1.672121
406.518	1.678713
406.876	1.677095
407.233	1.677387
407.591	1.686377
407.949	1.687159
408.306	1.702468
408.664	1.679694
409.022	1.665643
409.379	1.682578
409.737	1.679519
410.094	1.652222
410.451	1.687668
410.809	1.664917
411.166	1.665808
411.523	1.654965
411.881	1.683027
412.238	1.673965
412.595	1.672829
412.952	1.672079
413.310	1.679730
413.667	1.659546
414.024	1.669629
414.381	1.686125
414.738	1.683031
415.095	1.654078
415.452	1.672889
415.809	1.675312
416.165	1.660711
416.522	1.667003
416.879	1.656167
417.236	1.646785
417.593	1.653676
417.949	1.664397
418.306	1.664003
418.663	1.656736
419.019	1.617629
419.376	1.650075
419.732	1.646754
420.089	1.642164
420.445	1.654702
420.802	1.629974
421.158	1.639891
421.514	1.633823
421.871	1.633625
422.227	1.625036
422.583	1.639133
422.939	1.655527
423.295	1.604424
423.652	1.632826
424.008	1.626606
424.364	1.625246
424.720	1.628827
425.076	1.652658
425.432	1.634112
425.788	1.625552
426.143	1.639607
426.499	1.611709
426.855	1.612463
427.211	1.625114
427.567	1.628427
427.922	1.598287
428.278	1.597378
428.634	1.598641
428.989	1.605518
429.345	1.611481
429.700	1.601262
430.056	1.617620
430.411	1.601101
430.767	1.581001
431.122	1.601605
431.478	1.588015
431.833	1.598154
432.188	1.588864
432.543	1.608492
432.899	1.604614
433.254	1.593790
433.609	1.590497
433.964	1.598308
434.319	1.597824
434.674	1.573784
435.029	1.573527
435.384	1.573861
435.739	1.596698
436.094	1.549837
436.449	1.605799
436.804	1.565839
437.158	1.563649
437.513	1.554015
437.868	1.554309
438.223	1.555259
438.577	1.574913
438.932	1.549443
439.287	1.544869
439.641	1.552427
439.996	1.557711
440.350	1.544811
440.704	1.534224
441.059	1.547895
441.413	1.541009
441.768	1.539881
442.122	1.533986
442.476	1.526033
442.830	1.516586
443.185	1.526714
443.539	1.516461
443.893	1.519889
444.247	1.516443
444.601	1.520238
444.955	1.513209
445.309	1.500335
445.663	1.497956
446.017	1.506494
446.371	1.503749
446.724	1.499536
447.078	1.497862
447.432	1.491691
447.786	1.489203
448.139	1.496031
448.493	1.485081
448.847	1.479608
