Date	2022年07月22日金曜日 10時41分42秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[usec]	12000
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
313.472	0.000000
313.838	1.262255
314.204	1.385448
314.570	1.448629
314.936	1.428520
315.302	1.854327
315.668	0.000000
316.034	1.896765
316.400	0.000000
316.766	0.000000
317.132	3.522972
317.498	0.000000
317.864	1.419468
318.230	0.000000
318.595	2.194599
318.961	0.000000
319.327	1.964271
319.692	1.633396
320.058	1.699833
320.424	2.331598
320.789	0.000000
321.155	1.552190
321.520	1.988553
321.886	0.000000
322.251	2.282371
322.616	2.075512
322.982	0.000000
323.347	1.928749
323.712	0.000000
324.078	0.000000
324.443	0.000000
324.808	1.785394
325.173	1.842694
325.539	2.133671
325.904	2.295409
326.269	2.509086
326.634	1.952920
326.999	2.410765
327.364	2.277170
327.729	2.469063
328.094	0.000000
328.459	2.475895
328.823	1.729741
329.188	2.047419
329.553	2.336223
329.918	2.381638
330.283	2.135866
330.647	3.684619
331.012	1.957476
331.377	2.749921
331.741	2.130436
332.106	2.418814
332.470	1.962526
332.835	2.609400
333.199	2.120022
333.564	2.087277
333.928	3.256871
334.293	2.017937
334.657	2.442940
335.021	2.136847
335.386	1.859636
335.750	1.958380
336.114	2.041078
336.478	2.268874
336.843	2.801736
337.207	2.090584
337.571	2.017149
337.935	2.023131
338.299	1.999422
338.663	2.123982
339.027	1.993340
339.391	2.065007
339.755	2.076685
340.119	2.187415
340.483	1.912931
340.846	2.136637
341.210	2.635056
341.574	2.019990
341.938	2.246357
342.301	2.190226
342.665	1.901773
343.029	1.806030
343.392	1.994221
343.756	2.099985
344.119	1.873643
344.483	2.352838
344.846	2.386861
345.210	2.565503
345.573	2.091559
345.937	1.999479
346.300	2.242437
346.663	1.947527
347.027	2.459359
347.390	2.052819
347.753	2.167226
348.116	1.958078
348.479	2.214954
348.843	1.958374
349.206	2.055164
349.569	2.176980
349.932	2.124942
350.295	2.479367
350.658	2.304186
351.021	2.464449
351.383	2.220270
351.746	2.547341
352.109	2.038797
352.472	2.308118
352.835	2.079267
353.197	2.430386
353.560	1.945368
353.923	2.083499
354.285	2.045003
354.648	2.224120
355.011	2.045928
355.373	2.059504
355.736	2.097505
356.461	2.084002
356.823	1.987920
357.185	2.062708
357.548	2.254514
357.910	1.974018
358.272	2.065737
358.635	2.112189
358.997	2.110370
359.359	2.497494
359.721	2.039486
360.083	2.108046
360.445	2.064430
360.807	2.593723
361.169	2.049757
361.531	2.030451
361.893	2.143857
362.255	2.175788
362.617	2.074419
362.979	2.274062
363.341	2.073454
363.703	2.209158
364.064	2.056483
364.426	2.246713
364.788	2.180520
365.149	2.267195
365.511	2.054169
365.873	2.123115
366.234	2.070445
366.596	2.391611
366.957	2.106277
367.319	2.278075
367.680	2.165674
368.042	2.300673
368.403	2.105967
368.764	2.085776
369.126	2.301833
369.487	2.087571
369.848	2.030048
370.209	2.235797
370.570	2.146055
370.931	2.293407
371.293	2.389546
371.654	2.173607
372.015	2.358319
372.376	2.124040
372.737	2.183415
373.098	2.228862
373.458	2.034582
373.819	2.213946
374.180	2.434553
374.541	2.147836
374.902	2.389042
375.263	2.281497
375.623	2.164359
375.984	2.166586
376.345	2.157679
376.705	2.029194
377.066	2.023649
377.426	2.095619
377.787	2.397867
378.147	2.258700
378.508	2.397201
378.868	2.417286
379.228	2.173018
379.589	2.157041
379.949	2.267920
380.309	2.277641
380.670	2.053402
381.030	2.143992
381.390	2.023003
381.750	2.235803
382.110	2.424092
382.470	2.235811
382.830	2.191591
383.190	1.963833
383.550	2.111557
383.910	2.220038
384.270	2.533938
384.630	2.137748
384.990	2.395998
385.350	2.158365
385.709	2.405762
386.069	2.232375
386.429	2.182127
386.788	2.227717
387.148	2.103526
387.508	2.098393
387.867	2.101322
388.227	2.152958
388.586	2.281563
388.946	2.426231
389.305	2.095624
389.665	2.314231
390.024	2.439470
390.383	2.090106
390.743	2.138438
391.102	2.397594
