Date	2022年08月06日土曜日 01時00分02秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	1000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	0.241078
192.166	0.000000
192.542	0.331241
192.917	0.336530
193.293	-0.062169
193.668	0.622059
194.044	0.254966
194.419	0.000000
194.794	-0.175072
195.170	-0.111789
195.545	0.000000
195.920	0.287691
196.296	0.000000
196.671	0.000000
197.046	0.849331
197.421	0.000000
197.796	-0.165391
198.171	0.000000
198.546	0.000000
198.922	0.000000
199.297	0.000000
199.672	0.000000
200.047	0.000000
200.422	1.707164
200.796	0.000000
201.171	-0.152279
201.546	0.000000
201.921	-0.825768
202.296	0.000000
202.671	0.376868
203.045	0.316201
203.420	0.033429
203.795	0.000000
204.170	-0.939323
204.544	0.000000
204.919	0.000000
205.294	0.000000
205.668	0.000000
206.043	0.316537
206.417	0.000000
206.792	0.000000
207.166	0.143577
207.541	0.000000
207.915	0.459866
208.289	0.000000
208.664	0.966693
209.038	0.382854
209.412	0.000000
209.787	0.357735
210.161	0.000000
210.535	0.000000
210.909	0.000000
211.284	0.000000
211.658	1.046095
212.032	0.000000
212.406	-1.052121
212.780	0.000000
213.154	0.951555
213.528	0.000000
213.902	0.000000
214.276	0.000000
214.650	0.408233
215.024	0.000000
215.398	0.302414
215.772	0.000000
216.145	0.000000
216.519	0.000000
216.893	0.348691
217.267	0.000000
217.640	0.000000
218.014	0.562500
218.388	1.413176
218.761	0.000000
219.135	0.000000
219.508	0.000000
219.882	0.342088
220.256	0.524195
220.629	0.000000
221.003	0.000000
221.376	0.011771
221.749	0.000000
222.123	0.000000
222.496	0.000000
222.869	0.000000
223.243	-0.185171
223.616	0.409347
223.989	0.002161
224.362	0.000000
224.736	-0.087177
225.109	0.928342
225.482	0.000000
225.855	0.193389
226.228	0.000000
226.601	-0.204867
226.974	0.000000
227.347	0.000000
227.720	0.000000
228.093	0.903256
