RamanScope Measure Spectrum Data V3.72

<< MEASURE CONDITION >>
Exposure Type,Aver
Exposure Time [sec],15
Exposure Count,30
Measure Time,2023/07/14 22:05:27
Data Name,""
Data Comment,""
Rayleigh Wave[nm],532.0

<< SAMPLE SPECTRUM >>
Wave[dcm-1],No109
491.754,2929.17
492.754,2892.30
493.753,2912.47
494.753,2968.17
495.752,2909.00
496.752,2893.80
497.749,2929.43
498.748,2888.40
499.747,2897.97
500.746,2905.73
501.745,2858.60
502.744,2842.10
503.742,2847.90
504.741,2891.80
505.739,2852.13
506.737,2853.10
507.735,2852.60
508.734,2854.20
509.732,2865.33
510.729,2836.20
511.727,2769.47
512.725,2797.17
513.720,2764.00
514.718,2863.03
515.715,2810.63
516.712,2736.23
517.709,2752.80
518.706,2750.17
519.703,2781.67
520.700,2776.00
521.696,2775.30
522.693,2787.50
523.689,2774.27
524.686,2773.20
525.682,2817.50
526.678,2763.53
527.674,2767.50
528.670,2771.47
529.666,2829.27
530.661,2820.03
531.657,2295.43
532.652,2790.00
533.648,2771.77
534.641,2828.90
535.636,2800.00
536.631,2835.37
537.626,2803.47
538.621,2802.33
539.616,2776.00
540.610,2816.57
541.605,2815.23
542.599,2828.53
543.593,2799.00
544.587,2834.77
545.581,2797.00
546.575,2822.97
547.569,2843.33
548.563,2816.67
549.557,2813.43
550.550,2819.70
551.543,2819.53
552.537,2803.93
553.530,2775.77
554.523,2818.93
555.516,2836.30
556.509,2851.60
557.502,2799.60
558.494,2866.87
559.487,2827.63
560.479,2878.00
561.472,2913.37
562.464,2860.03
563.456,2824.60
564.448,2855.77
565.440,2830.20
566.432,2855.57
567.423,2882.03
568.415,2896.27
569.404,2870.93
570.396,2881.70
571.387,2864.70
572.378,2931.27
573.369,2907.30
574.360,2920.07
575.351,2921.43
576.341,2916.03
577.332,2968.07
578.323,2929.40
579.313,2939.23
580.303,2910.83
581.293,2921.80
582.283,2947.70
583.273,3005.97
584.263,2979.77
585.253,2950.30
586.243,3003.13
587.232,3017.27
588.222,2998.30
589.211,3003.77
590.200,2970.07
591.189,3007.73
592.178,2974.47
