出力日時,2021/06/21 14:13:36
データソース,hematite_100_S2-2-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.368,0.100,-0.331,2E-06,1.43E-07
3.468,0.200,-0.33,1E-06,2.985E-07
3.568,0.300,-0.329,0,4.38E-07
3.668,0.400,-0.328,0,6.04000000000001E-07
3.768,0.500,-0.327,2E-06,7.65000000000002E-07
3.868,0.600,-0.326,1E-06,9.19500000000002E-07
3.968,0.700,-0.325,2E-06,1.087E-06
4.068,0.800,-0.324,1E-06,1.3005E-06
4.168,0.900,-0.323,2E-06,1.51E-06
4.268,1.000,-0.322,3E-06,1.7165E-06
4.368,1.100,-0.321,3E-06,1.89349999999999E-06
4.468,1.200,-0.32,3E-06,2.10049999999999E-06
4.568,1.300,-0.319,2E-06,2.31099999999999E-06
4.668,1.400,-0.318,3E-06,2.54749999999999E-06
4.768,1.500,-0.317,2E-06,2.74599999999999E-06
4.868,1.600,-0.316,3E-06,2.95549999999999E-06
4.968,1.700,-0.315,1E-06,3.17549999999999E-06
5.068,1.800,-0.314,1E-06,3.41849999999999E-06
5.168,1.900,-0.313,4E-06,3.64799999999999E-06
5.268,2.000,-0.312,3E-06,3.87449999999999E-06
5.368,2.100,-0.311,3E-06,4.13849999999999E-06
5.468,2.200,-0.31,2E-06,4.405E-06
5.568,2.300,-0.309,2E-06,4.61600000000001E-06
5.668,2.400,-0.308,3E-06,4.87150000000001E-06
5.768,2.500,-0.307,3E-06,5.11950000000003E-06
5.868,2.600,-0.306,2E-06,5.33400000000002E-06
5.968,2.700,-0.305,2E-06,5.60100000000003E-06
6.068,2.800,-0.304,2E-06,5.89200000000004E-06
6.168,2.900,-0.303,3E-06,6.16550000000005E-06
6.268,3.000,-0.302,3E-06,6.44550000000005E-06
6.368,3.100,-0.301,2E-06,6.71500000000005E-06
6.468,3.200,-0.3,3E-06,6.97250000000007E-06
6.568,3.300,-0.299,4E-06,7.29400000000006E-06
6.668,3.400,-0.298,2E-06,7.61900000000007E-06
6.768,3.500,-0.297,3E-06,7.93650000000009E-06
6.868,3.600,-0.296,3E-06,8.2265000000001E-06
6.968,3.700,-0.295,3E-06,8.53150000000012E-06
7.068,3.800,-0.294,4E-06,8.84300000000014E-06
7.168,3.900,-0.293,4E-06,9.14800000000015E-06
7.268,4.000,-0.292,4E-06,9.43900000000017E-06
7.368,4.100,-0.291,4E-06,9.7670000000002E-06
7.468,4.200,-0.29,4E-06,1.00860000000002E-05
7.568,4.300,-0.289,3E-06,1.04035000000003E-05
7.668,4.400,-0.288,4E-06,1.07140000000003E-05
7.768,4.500,-0.287,4E-06,1.10620000000003E-05
7.868,4.600,-0.286,3E-06,1.13825000000003E-05
7.968,4.700,-0.285,3E-06,1.17135000000004E-05
8.068,4.800,-0.284,3E-06,1.20725000000004E-05
8.168,4.900,-0.283,3E-06,1.24425000000004E-05
8.268,5.000,-0.282,4E-06,1.27940000000005E-05
8.368,5.100,-0.281,4E-06,1.31450000000005E-05
8.468,5.200,-0.28,3E-06,1.34935000000005E-05
8.568,5.300,-0.279,4E-06,1.38530000000006E-05
8.668,5.400,-0.278,3E-06,1.42085000000006E-05
8.768,5.500,-0.277,4E-06,1.45730000000006E-05
8.868,5.600,-0.276,3E-06,1.49385000000007E-05
8.968,5.700,-0.275,5E-06,1.53045000000007E-05
9.068,5.800,-0.274,4E-06,1.56980000000007E-05
9.168,5.900,-0.273,4E-06,1.60820000000007E-05
9.268,6.000,-0.272,4E-06,1.64600000000008E-05
9.368,6.100,-0.271,4E-06,1.68730000000008E-05
9.468,6.200,-0.27,5E-06,1.72765000000008E-05
9.568,6.300,-0.269,4E-06,1.76730000000008E-05
9.668,6.400,-0.268,5E-06,1.80875000000008E-05
9.768,6.500,-0.267,4E-06,1.85170000000008E-05
9.868,6.600,-0.266,4E-06,1.89410000000008E-05
9.968,6.700,-0.265,4E-06,1.93640000000009E-05
10.068,6.800,-0.264,5E-06,1.98135000000009E-05
10.168,6.900,-0.263,4E-06,2.02520000000009E-05
10.268,7.000,-0.262,4E-06,2.06770000000009E-05
10.368,7.100,-0.261,5E-06,2.1150500000001E-05
10.468,7.200,-0.26,5E-06,2.1597500000001E-05
10.568,7.300,-0.259,5E-06,2.2070500000001E-05
10.668,7.400,-0.258,5E-06,2.2563500000001E-05
10.768,7.500,-0.257,5E-06,2.3007500000001E-05
10.868,7.600,-0.256,5E-06,2.3485500000001E-05
10.968,7.700,-0.255,5E-06,2.3980500000001E-05
11.068,7.800,-0.254,5E-06,2.4480500000001E-05
