出力日時,2021/06/21 14:11:14
データソース,hematite_100_S3-3-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
12.892,9.600,-0.252,1E-05,4.59710000000014E-05
12.992,9.700,-0.251,1E-05,4.69380000000014E-05
13.092,9.800,-0.25,9E-06,4.79095000000015E-05
13.192,9.900,-0.249,1.1E-05,4.89115000000015E-05
13.292,10.000,-0.248,1.1E-05,4.99335000000016E-05
13.392,10.100,-0.247,1E-05,5.09710000000017E-05
13.492,10.200,-0.246,1.2E-05,5.20550000000017E-05
13.592,10.300,-0.245,1.1E-05,5.31315000000017E-05
13.692,10.400,-0.244,9E-06,5.41965000000018E-05
13.792,10.500,-0.243,1.2E-05,5.53150000000018E-05
13.892,10.600,-0.242,1.1E-05,5.64755000000018E-05
13.992,10.700,-0.241,1.2E-05,5.76240000000017E-05
14.092,10.800,-0.24,1.3E-05,5.87955000000017E-05
14.192,10.900,-0.239,1.2E-05,5.99850000000018E-05
14.292,11.000,-0.238,1.2E-05,6.11800000000017E-05
14.392,11.100,-0.237,1.2E-05,6.24150000000019E-05
14.492,11.200,-0.236,1.3E-05,6.36835000000018E-05
14.592,11.300,-0.235,1.4E-05,6.49710000000017E-05
14.692,11.400,-0.234,1.4E-05,6.62630000000017E-05
14.792,11.500,-0.233,1.4E-05,6.75720000000015E-05
14.892,11.600,-0.232,1.3E-05,6.89195000000014E-05
14.992,11.700,-0.231,1.3E-05,7.02705000000013E-05
15.092,11.800,-0.23,1.5E-05,7.16705000000013E-05
15.192,11.900,-0.229,1.5E-05,7.31035000000013E-05
15.292,12.000,-0.228,1.5E-05,7.45395000000013E-05
15.392,12.100,-0.227,1.4E-05,7.59940000000013E-05
15.492,12.200,-0.226,1.5E-05,7.74925000000013E-05
15.592,12.300,-0.225,1.7E-05,7.89925000000013E-05
15.692,12.400,-0.224,1.5E-05,8.05345000000014E-05
15.792,12.500,-0.223,1.6E-05,8.21260000000015E-05
15.892,12.600,-0.222,1.6E-05,8.37510000000017E-05
15.992,12.700,-0.221,1.6E-05,8.53890000000018E-05
16.092,12.800,-0.22,1.6E-05,8.70650000000021E-05
16.192,12.900,-0.219,1.8E-05,8.87500000000022E-05
16.292,13.000,-0.218,1.7E-05,9.04815000000024E-05
16.392,13.100,-0.217,1.8E-05,9.22210000000025E-05
16.492,13.200,-0.216,1.8E-05,9.39980000000025E-05
16.592,13.300,-0.215,1.8E-05,9.58370000000025E-05
16.692,13.400,-0.214,1.8E-05,9.76780000000025E-05
16.792,13.500,-0.213,1.9E-05,9.95405000000026E-05
16.892,13.600,-0.212,1.9E-05,0.000101437500000003
16.992,13.700,-0.211,2E-05,0.000103392000000003
17.092,13.800,-0.21,2E-05,0.000105360000000003
17.192,13.900,-0.209,1.9E-05,0.000107329500000003
17.292,14.000,-0.208,2.1E-05,0.000109364500000003
17.392,14.100,-0.207,2.1E-05,0.000111412500000003
17.492,14.200,-0.206,2E-05,0.000113516000000003
17.592,14.300,-0.205,2.2E-05,0.000115633000000003
17.692,14.400,-0.204,2.2E-05,0.000117822000000003
17.792,14.500,-0.203,2.2E-05,0.000120036000000003
17.892,14.600,-0.202,2.2E-05,0.000122274000000003
17.992,14.700,-0.201,2.3E-05,0.000124592500000003
18.092,14.800,-0.2,2.3E-05,0.000126910500000003
18.192,14.900,-0.199,2.4E-05,0.000129217000000003
18.292,15.000,-0.198,2.5E-05,0.000131593500000004
18.392,15.100,-0.197,2.5E-05,0.000134013500000004
18.492,15.200,-0.196,2.5E-05,0.000136468500000004
18.592,15.300,-0.195,2.4E-05,0.000139032000000004
18.692,15.400,-0.194,2.5E-05,0.000141556500000004
18.792,15.500,-0.193,2.6E-05,0.000144140000000004
18.892,15.600,-0.192,2.6E-05,0.000146786000000004
18.992,15.700,-0.191,2.7E-05,0.000149445500000004
19.092,15.800,-0.19,2.8E-05,0.000152205000000004
19.192,15.900,-0.189,2.7E-05,0.000154945500000004
19.292,16.000,-0.188,2.7E-05,0.000157743500000004
19.392,16.100,-0.187,2.8E-05,0.000160598000000004
19.492,16.200,-0.186,2.9E-05,0.000163488500000003
19.592,16.300,-0.185,2.9E-05,0.000166411500000003
19.692,16.400,-0.184,2.9E-05,0.000169366500000003
19.792,16.500,-0.183,3E-05,0.000172341000000003
19.892,16.600,-0.182,3.1E-05,0.000175359500000003
19.992,16.700,-0.181,3.1E-05,0.000178425500000002
20.092,16.800,-0.18,3.2E-05,0.000181575000000002
20.192,16.900,-0.179,3.2E-05,0.000184741000000002
20.292,17.000,-0.178,3.2E-05,0.000187983000000002
20.392,17.100,-0.177,3.3E-05,0.000191237500000002
20.492,17.200,-0.176,3.3E-05,0.000194533500000002
20.592,17.300,-0.175,3.3E-05,0.000197871500000002
20.692,17.400,-0.174,3.4E-05,0.000201250000000002
20.792,17.500,-0.173,3.4E-05,0.000204699000000002
20.892,17.600,-0.172,3.5E-05,0.000208181500000002
20.992,17.700,-0.171,3.6E-05,0.000211686000000002
21.092,17.800,-0.17,3.7E-05,0.000215299500000002
21.192,17.900,-0.169,3.7E-05,0.000218948500000002
21.292,18.000,-0.168,3.7E-05,0.000222676500000002
21.392,18.100,-0.167,3.7E-05,0.000226389500000002
21.492,18.200,-0.166,3.8E-05,0.000230164000000002
21.592,18.300,-0.165,3.9E-05,0.000234018500000002
21.692,18.400,-0.164,3.9E-05,0.000237914500000002
21.792,18.500,-0.163,3.9E-05,0.000241872500000002
21.892,18.600,-0.162,4.1E-05,0.000245869500000002
21.992,18.700,-0.161,4E-05,0.000249875000000002
22.092,18.800,-0.16,4.2E-05,0.000253967000000002
22.192,18.900,-0.159,4.1E-05,0.000258047500000001
22.292,19.000,-0.158,4.2E-05,0.000262222000000002
22.392,19.100,-0.157,4.2E-05,0.000266449000000002
22.492,19.200,-0.156,4.4E-05,0.000270716000000001
22.592,19.300,-0.155,4.4E-05,0.000275023000000001
22.692,19.400,-0.154,4.4E-05,0.000279395
22.792,19.500,-0.153,4.6E-05,0.000283831999999999
22.892,19.600,-0.152,4.5E-05,0.000288326499999999
22.992,19.700,-0.151,4.6E-05,0.000292884
23.092,19.800,-0.15,4.6E-05,0.000297479000000001
23.192,19.900,-0.149,4.6E-05,0.000302122000000001
23.292,20.000,-0.148,4.9E-05,0.0003068365
23.392,20.100,-0.147,4.7E-05,0.000311624499999999
23.492,20.200,-0.146,4.8E-05,0.000316451999999999
23.592,20.300,-0.145,4.9E-05,0.000321315499999999
23.692,20.400,-0.144,5E-05,0.000326252
23.792,20.500,-0.143,5.1E-05,0.0003312375
23.892,20.600,-0.142,5E-05,0.000336278
23.992,20.700,-0.141,5.2E-05,0.000341397999999999
24.092,20.800,-0.14,5.2E-05,0.000346564999999999
24.192,20.900,-0.139,5.2E-05,0.000351775999999998
24.292,21.000,-0.138,5.2E-05,0.000357032999999999
24.392,21.100,-0.137,5.2E-05,0.000362350999999999
24.492,21.200,-0.136,5.4E-05,0.000367768
24.592,21.300,-0.135,5.4E-05,0.000373237
24.692,21.400,-0.134,5.5E-05,0.000378768499999999
24.792,21.500,-0.133,5.6E-05,0.000384298999999999
24.892,21.600,-0.132,5.7E-05,0.000389913499999999
24.992,21.700,-0.131,5.8E-05,0.000395604999999999
25.092,21.800,-0.13,5.7E-05,0.000401340499999999
25.192,21.900,-0.129,5.8E-05,0.000407156999999998
25.292,22.000,-0.128,5.9E-05,0.000413001499999998
25.392,22.100,-0.127,6E-05,0.000418927999999997
25.492,22.200,-0.126,6E-05,0.000424940999999997
25.592,22.300,-0.125,6.1E-05,0.000431006499999998
25.692,22.400,-0.124,6.2E-05,0.000437132999999998
25.792,22.500,-0.123,6.1E-05,0.000443269499999998
25.892,22.600,-0.122,6.2E-05,0.000449464999999997
25.992,22.700,-0.121,6.3E-05,0.000455731499999997
26.092,22.800,-0.12,6.4E-05,0.000462058999999997
26.192,22.900,-0.119,6.6E-05,0.000468473999999997
26.292,23.000,-0.118,6.4E-05,0.000474952999999997
26.392,23.100,-0.117,6.6E-05,0.000481511999999997
26.492,23.200,-0.116,6.7E-05,0.000488142499999997
26.592,23.300,-0.115,6.7E-05,0.000494814499999997
26.692,23.400,-0.114,6.8E-05,0.000501550999999997
26.792,23.500,-0.113,6.7E-05,0.000508353499999997
26.892,23.600,-0.112,7E-05,0.000515215999999997
26.992,23.700,-0.111,7E-05,0.000522141999999996
27.092,23.800,-0.11,6.9E-05,0.000529138499999996
27.192,23.900,-0.109,7E-05,0.000536159999999995
27.292,24.000,-0.108,7.1E-05,0.000543278499999994
27.392,24.100,-0.107,7.2E-05,0.000550487999999992
27.492,24.200,-0.106,7.4E-05,0.00055771699999999
27.592,24.300,-0.105,7.5E-05,0.00056506349999999
27.692,24.400,-0.104,7.4E-05,0.00057248099999999
27.792,24.500,-0.103,7.4E-05,0.000579922999999991
27.892,24.600,-0.102,7.6E-05,0.000587438999999991
27.992,24.700,-0.101,7.6E-05,0.00059503299999999
28.092,24.800,-0.1,7.6E-05,0.00060265299999999
28.192,24.900,-0.099,7.7E-05,0.000610338499999991
28.292,25.000,-0.098,7.9E-05,0.000618108499999993
28.392,25.100,-0.097,7.9E-05,0.000625969499999993
28.492,25.200,-0.096,8E-05,0.000633891999999992
28.592,25.300,-0.095,8.1E-05,0.000641867499999991
28.692,25.400,-0.094,8E-05,0.000649919999999991
28.792,25.500,-0.093,8.1E-05,0.000658039499999989
28.892,25.600,-0.092,8.2E-05,0.000666192999999988
28.992,25.700,-0.091,8.2E-05,0.000674413999999987
29.092,25.800,-0.09,8.5E-05,0.000682692499999986
29.192,25.900,-0.089,8.3E-05,0.000691043499999987
29.292,26.000,-0.088,8.6E-05,0.000699470999999988
29.392,26.100,-0.087,8.5E-05,0.000707951499999989
29.492,26.200,-0.086,8.6E-05,0.000716540999999988
29.592,26.300,-0.085,8.6E-05,0.000725158999999986
29.692,26.400,-0.084,8.8E-05,0.000733797999999985
29.792,26.500,-0.083,8.8E-05,0.000742535999999982
29.892,26.600,-0.082,8.8E-05,0.00075131699999998
29.992,26.700,-0.081,8.9E-05,0.00076017349999998
30.092,26.800,-0.08,9E-05,0.00076911299999998
30.192,26.900,-0.079,8.9E-05,0.00077810849999998
30.292,27.000,-0.078,9.2E-05,0.000787115999999981
30.392,27.100,-0.077,9.2E-05,0.000796242999999982
30.492,27.200,-0.076,9.2E-05,0.000805423999999984
30.592,27.300,-0.075,9.2E-05,0.000814628999999985
30.692,27.400,-0.074,9.3E-05,0.000823928499999986
30.792,27.500,-0.073,9.3E-05,0.000833265499999986
30.892,27.600,-0.072,9.5E-05,0.000842679499999983
30.992,27.700,-0.071,9.5E-05,0.000852169499999981
31.092,27.800,-0.07,9.6E-05,0.00086170999999998
31.192,27.900,-0.069,9.5E-05,0.00087131749999998
31.292,28.000,-0.068,9.7E-05,0.00088098549999998
31.392,28.100,-0.067,9.7E-05,0.00089071149999998
31.492,28.200,-0.066,9.9E-05,0.000900508499999981
31.592,28.300,-0.065,0.0001,0.000910390999999981
31.692,28.400,-0.064,0.0001,0.000920311999999981
31.792,28.500,-0.063,0.000102,0.000930299999999981
31.892,28.600,-0.062,0.000101,0.00094036949999998
31.992,28.700,-0.061,0.000102,0.000950439999999979
32.092,28.800,-0.06,0.000102,0.000960607999999977
32.192,28.900,-0.059,0.000102,0.000970856999999976
32.292,29.000,-0.058,0.000103,0.000981147499999977
32.392,29.100,-0.057,0.000103,0.000991491499999978
32.492,29.200,-0.056,0.000105,0.00100190949999998
32.592,29.300,-0.055,0.000105,0.00101239349999997
32.692,29.400,-0.054,0.000106,0.00102293199999997
32.792,29.500,-0.053,0.000107,0.00103356249999997
32.892,29.600,-0.052,0.000107,0.00104424549999997
32.992,29.700,-0.051,0.000107,0.00105500249999997
33.092,29.800,-0.05,0.000108,0.00106580299999997
33.192,29.900,-0.049,0.000109,0.00107669649999997
33.292,30.000,-0.048,0.00011,0.00108760499999997
33.392,30.100,-0.047,0.000111,0.00109857449999997
33.492,30.200,-0.046,0.000111,0.00110962549999997
