出力日時,2021/06/21 14:01:43
データソース,hematite_95_S2-1-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
12.737,9.500,-0.277,9E-06,4.95255000000009E-05
12.837,9.600,-0.276,9E-06,5.03685000000009E-05
12.937,9.700,-0.275,1E-05,5.1233000000001E-05
13.037,9.800,-0.274,1E-05,5.2113000000001E-05
13.137,9.900,-0.273,9E-06,5.2989500000001E-05
13.237,10.000,-0.272,9E-06,5.39015000000011E-05
13.337,10.100,-0.271,1E-05,5.48110000000011E-05
13.437,10.200,-0.27,8E-06,5.57330000000011E-05
13.537,10.300,-0.269,8E-06,5.66740000000012E-05
13.637,10.400,-0.268,7E-06,5.75765000000012E-05
13.737,10.500,-0.267,1E-05,5.85200000000012E-05
13.837,10.600,-0.266,8E-06,5.94500000000012E-05
13.937,10.700,-0.265,9E-06,6.03805000000013E-05
14.037,10.800,-0.264,1.1E-05,6.13215000000012E-05
14.137,10.900,-0.263,9E-06,6.22945000000012E-05
14.237,11.000,-0.262,9E-06,6.32325000000011E-05
14.337,11.100,-0.261,1E-05,6.4184000000001E-05
14.437,11.200,-0.26,1E-05,6.51470000000009E-05
14.537,11.300,-0.259,1E-05,6.61610000000009E-05
14.637,11.400,-0.258,1E-05,6.71930000000009E-05
14.737,11.500,-0.257,1.1E-05,6.82055000000009E-05
14.837,11.600,-0.256,1E-05,6.92590000000009E-05
14.937,11.700,-0.255,1E-05,7.02610000000008E-05
15.037,11.800,-0.254,1.1E-05,7.13275000000009E-05
15.137,11.900,-0.253,1.1E-05,7.23995000000009E-05
15.237,12.000,-0.252,1E-05,7.34880000000009E-05
15.337,12.100,-0.251,1.2E-05,7.46050000000009E-05
15.437,12.200,-0.25,1.1E-05,7.5747500000001E-05
15.537,12.300,-0.249,1.1E-05,7.68825000000011E-05
15.637,12.400,-0.248,1E-05,7.80280000000012E-05
15.737,12.500,-0.247,1.1E-05,7.91715000000014E-05
15.837,12.600,-0.246,1.1E-05,8.03415000000014E-05
15.937,12.700,-0.245,1.2E-05,8.15190000000015E-05
16.037,12.800,-0.244,1.2E-05,8.27290000000016E-05
16.137,12.900,-0.243,1.2E-05,8.39290000000017E-05
16.237,13.000,-0.242,1E-05,8.51730000000018E-05
16.337,13.100,-0.241,1.1E-05,8.63895000000018E-05
16.437,13.200,-0.24,1.3E-05,8.76245000000017E-05
16.537,13.300,-0.239,1.3E-05,8.88785000000016E-05
16.637,13.400,-0.238,1.3E-05,9.01855000000015E-05
16.737,13.500,-0.237,1.3E-05,9.14855000000014E-05
16.837,13.600,-0.236,1.3E-05,9.27735000000013E-05
16.937,13.700,-0.235,1.4E-05,9.41160000000013E-05
17.037,13.800,-0.234,1.4E-05,9.55020000000012E-05
17.137,13.900,-0.233,1.4E-05,9.68610000000012E-05
17.237,14.000,-0.232,1.4E-05,9.82590000000011E-05
17.337,14.100,-0.231,1.4E-05,9.96750000000011E-05
17.437,14.200,-0.23,1.3E-05,0.000101087500000001
17.537,14.300,-0.229,1.4E-05,0.000102521000000001
17.637,14.400,-0.228,1.4E-05,0.000104013000000001
17.737,14.500,-0.227,1.6E-05,0.000105476000000001
17.837,14.600,-0.226,1.4E-05,0.000106968000000001
17.937,14.700,-0.225,1.4E-05,0.000108501000000001
18.037,14.800,-0.224,1.5E-05,0.000110029500000001
18.137,14.900,-0.223,1.7E-05,0.000111607500000001
18.237,15.000,-0.222,1.5E-05,0.000113222500000002
18.337,15.100,-0.221,1.6E-05,0.000114798000000002
18.437,15.200,-0.22,1.7E-05,0.000116442500000002
18.537,15.300,-0.219,1.8E-05,0.000118090000000002
18.637,15.400,-0.218,1.7E-05,0.000119768500000002
18.737,15.500,-0.217,1.6E-05,0.000121446000000002
18.837,15.600,-0.216,1.7E-05,0.000123129500000002
18.937,15.700,-0.215,1.7E-05,0.000124857500000002
19.037,15.800,-0.214,1.9E-05,0.000126618500000002
19.137,15.900,-0.213,1.8E-05,0.000128417000000002
19.237,16.000,-0.212,1.8E-05,0.000130227000000002
19.337,16.100,-0.211,1.7E-05,0.000132035500000002
19.437,16.200,-0.21,1.9E-05,0.000133852500000002
19.537,16.300,-0.209,1.8E-05,0.000135720000000002
19.637,16.400,-0.208,1.8E-05,0.000137649000000002
19.737,16.500,-0.207,2E-05,0.000139578000000002
19.837,16.600,-0.206,2E-05,0.000141546000000002
19.937,16.700,-0.205,1.9E-05,0.000143521500000002
20.037,16.800,-0.204,2.1E-05,0.000145504500000002
20.137,16.900,-0.203,2.1E-05,0.000147540500000002
20.237,17.000,-0.202,2.1E-05,0.000149595500000002
20.337,17.100,-0.201,2.1E-05,0.000151676500000002
20.437,17.200,-0.2,2.2E-05,0.000153804000000002
20.537,17.300,-0.199,1.9E-05,0.000155969500000002
20.637,17.400,-0.198,2.2E-05,0.000158127000000001
20.737,17.500,-0.197,2.2E-05,0.000160311000000001
20.837,17.600,-0.196,2.2E-05,0.000162547000000002
20.937,17.700,-0.195,2.2E-05,0.000164861000000002
21.037,17.800,-0.194,2.4E-05,0.000167176000000002
21.137,17.900,-0.193,2.5E-05,0.000169523500000002
21.237,18.000,-0.192,2.5E-05,0.000171868500000002
21.337,18.100,-0.191,2.6E-05,0.000174311000000002
21.437,18.200,-0.19,2.5E-05,0.000176731500000002
21.537,18.300,-0.189,2.5E-05,0.000179209500000002
21.637,18.400,-0.188,2.6E-05,0.000181700000000002
21.737,18.500,-0.187,2.6E-05,0.000184262000000002
21.837,18.600,-0.186,2.6E-05,0.000186796000000002
21.937,18.700,-0.185,2.6E-05,0.000189440000000003
22.037,18.800,-0.184,2.7E-05,0.000192097500000003
22.137,18.900,-0.183,2.7E-05,0.000194740500000003
22.237,19.000,-0.182,2.7E-05,0.000197428500000003
22.337,19.100,-0.181,2.9E-05,0.000200190500000003
22.437,19.200,-0.18,2.7E-05,0.000203010500000003
22.537,19.300,-0.179,2.8E-05,0.000205841000000003
22.637,19.400,-0.178,2.9E-05,0.000208662500000003
22.737,19.500,-0.177,2.9E-05,0.000211533500000003
22.837,19.600,-0.176,3.1E-05,0.000214462500000003
22.937,19.700,-0.175,2.9E-05,0.000217433500000002
23.037,19.800,-0.174,3.1E-05,0.000220403500000002
23.137,19.900,-0.173,2.9E-05,0.000223486500000002
23.237,20.000,-0.172,3.1E-05,0.000226555500000002
23.337,20.100,-0.171,3.1E-05,0.000229651500000001
23.437,20.200,-0.17,3.3E-05,0.000232795500000001
