出力日時,2021/06/21 13:28:36
データソース,hematite_First.S2-2-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.320,0.100,-0.403,2E-06,1.39E-07
3.420,0.200,-0.402,3E-06,2.96499999999999E-07
3.520,0.300,-0.401,1E-06,4.705E-07
3.620,0.400,-0.4,3E-06,6.79500000000001E-07
3.720,0.500,-0.399,3E-06,8.89500000000002E-07
3.820,0.600,-0.398,3E-06,1.0875E-06
3.920,0.700,-0.397,1E-06,1.3195E-06
4.020,0.800,-0.396,4E-06,1.571E-06
4.120,0.900,-0.395,2E-06,1.824E-06
4.220,1.000,-0.394,4E-06,2.051E-06
4.320,1.100,-0.393,4E-06,2.32E-06
4.420,1.200,-0.392,4E-06,2.60799999999999E-06
4.520,1.300,-0.391,3E-06,2.80749999999999E-06
4.620,1.400,-0.39,3E-06,3.04949999999999E-06
4.720,1.500,-0.389,3E-06,3.30749999999999E-06
4.820,1.600,-0.388,3E-06,3.53949999999999E-06
4.920,1.700,-0.387,3E-06,3.82149999999999E-06
5.020,1.800,-0.386,2E-06,4.11599999999999E-06
5.120,1.900,-0.385,4E-06,4.399E-06
5.220,2.000,-0.384,3E-06,4.67650000000001E-06
5.320,2.100,-0.383,3E-06,4.97150000000001E-06
5.420,2.200,-0.382,4E-06,5.25600000000001E-06
5.520,2.300,-0.381,2E-06,5.56300000000001E-06
5.620,2.400,-0.38,2E-06,5.85700000000001E-06
5.720,2.500,-0.379,4E-06,6.16000000000001E-06
5.820,2.600,-0.378,3E-06,6.5275E-06
5.920,2.700,-0.377,4E-06,6.87099999999999E-06
6.020,2.800,-0.376,4E-06,7.20199999999999E-06
6.120,2.900,-0.375,4E-06,7.56599999999998E-06
6.220,3.000,-0.374,4E-06,7.896E-06
6.320,3.100,-0.373,4E-06,8.25600000000003E-06
6.420,3.200,-0.372,4E-06,8.61500000000006E-06
6.520,3.300,-0.371,4E-06,8.96300000000008E-06
6.620,3.400,-0.37,5E-06,9.34450000000012E-06
6.720,3.500,-0.369,4E-06,9.71900000000013E-06
6.820,3.600,-0.368,5E-06,1.01115000000002E-05
6.920,3.700,-0.367,5E-06,1.04945000000002E-05
7.020,3.800,-0.366,3E-06,1.08665000000002E-05
7.120,3.900,-0.365,5E-06,1.12735000000002E-05
7.220,4.000,-0.364,4E-06,1.16470000000002E-05
7.320,4.100,-0.363,4E-06,1.20350000000003E-05
7.420,4.200,-0.362,4E-06,1.24210000000003E-05
7.520,4.300,-0.361,3E-06,1.28345000000004E-05
7.620,4.400,-0.36,4E-06,1.32330000000004E-05
7.720,4.500,-0.359,5E-06,1.36265000000004E-05
7.820,4.600,-0.358,5E-06,1.40765000000005E-05
7.920,4.700,-0.357,5E-06,1.45025000000005E-05
8.020,4.800,-0.356,4E-06,1.49060000000005E-05
8.120,4.900,-0.355,4E-06,1.53180000000006E-05
8.220,5.000,-0.354,5E-06,1.57535000000006E-05
8.320,5.100,-0.353,5E-06,1.61855000000006E-05
8.420,5.200,-0.352,4E-06,1.66240000000007E-05
8.520,5.300,-0.351,5E-06,1.70595000000007E-05
8.620,5.400,-0.35,4E-06,1.75450000000007E-05
8.720,5.500,-0.349,5E-06,1.80095000000007E-05
8.820,5.600,-0.348,5E-06,1.84805000000007E-05
8.920,5.700,-0.347,5E-06,1.89515000000007E-05
9.020,5.800,-0.346,5E-06,1.94445000000008E-05
9.120,5.900,-0.345,5E-06,1.99485000000008E-05
9.220,6.000,-0.344,5E-06,2.04145000000008E-05
9.320,6.100,-0.343,5E-06,2.09255000000008E-05
9.420,6.200,-0.342,6E-06,2.14150000000008E-05
9.520,6.300,-0.341,5E-06,2.19335000000008E-05
9.620,6.400,-0.34,6E-06,2.24310000000009E-05
9.720,6.500,-0.339,7E-06,2.29625000000009E-05
9.820,6.600,-0.338,6E-06,2.34840000000009E-05
9.920,6.700,-0.337,5E-06,2.39975000000009E-05
10.020,6.800,-0.336,4E-06,2.45120000000009E-05
10.120,6.900,-0.335,5E-06,2.50345000000009E-05
10.220,7.000,-0.334,5E-06,2.55885000000009E-05
10.320,7.100,-0.333,5E-06,2.61325000000009E-05
10.420,7.200,-0.332,6E-06,2.66920000000009E-05
10.520,7.300,-0.331,6E-06,2.72610000000009E-05
10.620,7.400,-0.33,6E-06,2.78190000000009E-05
10.720,7.500,-0.329,7E-06,2.84065000000009E-05
10.820,7.600,-0.328,6E-06,2.89520000000009E-05
10.920,7.700,-0.327,5E-06,2.95365000000009E-05
11.020,7.800,-0.326,7E-06,3.0137500000001E-05
11.120,7.900,-0.325,7E-06,3.0742500000001E-05
11.220,8.000,-0.324,6E-06,3.13420000000009E-05
11.320,8.100,-0.323,6E-06,3.19450000000009E-05
11.420,8.200,-0.322,6E-06,3.2580000000001E-05
11.520,8.300,-0.321,6E-06,3.31860000000009E-05
11.620,8.400,-0.32,7E-06,3.3815500000001E-05
11.720,8.500,-0.319,6E-06,3.44410000000011E-05
11.820,8.600,-0.318,7E-06,3.50905000000011E-05
11.920,8.700,-0.317,6E-06,3.57170000000012E-05
12.020,8.800,-0.316,7E-06,3.63615000000012E-05
12.120,8.900,-0.315,7E-06,3.70265000000012E-05
12.220,9.000,-0.314,6E-06,3.76730000000013E-05
12.320,9.100,-0.313,7E-06,3.83505000000013E-05
12.420,9.200,-0.312,7E-06,3.90135000000013E-05
12.520,9.300,-0.311,7E-06,3.96905000000013E-05
12.620,9.400,-0.31,9E-06,4.03695000000014E-05
12.720,9.500,-0.309,7E-06,4.10385000000014E-05
12.820,9.600,-0.308,7E-06,4.17275000000014E-05
12.920,9.700,-0.307,6E-06,4.24450000000014E-05
13.020,9.800,-0.306,8E-06,4.31620000000015E-05
13.120,9.900,-0.305,7E-06,4.38695000000015E-05
13.220,10.000,-0.304,7E-06,4.45665000000015E-05
13.320,10.100,-0.303,8E-06,4.53010000000015E-05
13.420,10.200,-0.302,8E-06,4.60590000000015E-05
13.520,10.300,-0.301,7E-06,4.68205000000016E-05
13.620,10.400,-0.3,1E-05,4.75910000000016E-05
13.720,10.500,-0.299,8E-06,4.83650000000016E-05
13.820,10.600,-0.298,8E-06,4.91810000000017E-05
13.920,10.700,-0.297,8E-06,4.99730000000018E-05
14.020,10.800,-0.296,8E-06,5.08010000000018E-05
14.120,10.900,-0.295,8E-06,5.16190000000019E-05
14.220,11.000,-0.294,9E-06,5.24275000000019E-05
14.320,11.100,-0.293,9E-06,5.3254500000002E-05
14.420,11.200,-0.292,8E-06,5.4078000000002E-05
14.520,11.300,-0.291,9E-06,5.49335000000021E-05
14.620,11.400,-0.29,1E-05,5.57780000000021E-05
14.720,11.500,-0.289,9E-06,5.66125000000022E-05
14.820,11.600,-0.288,9E-06,5.74575000000022E-05
14.920,11.700,-0.287,9E-06,5.83015000000022E-05
15.020,11.800,-0.286,9E-06,5.91525000000022E-05
15.120,11.900,-0.285,1E-05,6.00510000000023E-05
15.220,12.000,-0.284,1E-05,6.09560000000023E-05
15.320,12.100,-0.283,1E-05,6.18620000000021E-05
15.420,12.200,-0.282,9E-06,6.27505000000019E-05
15.520,12.300,-0.281,1E-05,6.36790000000018E-05
15.620,12.400,-0.28,1.1E-05,6.45995000000017E-05
15.720,12.500,-0.279,9E-06,6.55625000000016E-05
15.820,12.600,-0.278,9E-06,6.65285000000016E-05
15.920,12.700,-0.277,9E-06,6.74955000000014E-05
16.020,12.800,-0.276,1E-05,6.84880000000014E-05
16.120,12.900,-0.275,9E-06,6.94935000000013E-05
16.220,13.000,-0.274,1E-05,7.05430000000013E-05
16.320,13.100,-0.273,1E-05,7.15560000000013E-05
16.420,13.200,-0.272,1E-05,7.26050000000013E-05
16.520,13.300,-0.271,1.1E-05,7.36625000000012E-05
16.620,13.400,-0.27,1.2E-05,7.47220000000012E-05
16.720,13.500,-0.269,1.1E-05,7.58205000000014E-05
16.820,13.600,-0.268,1.1E-05,7.69075000000014E-05
16.920,13.700,-0.267,1E-05,7.79960000000015E-05
17.020,13.800,-0.266,1E-05,7.90970000000014E-05
17.120,13.900,-0.265,1.2E-05,8.02200000000016E-05
17.220,14.000,-0.264,1.2E-05,8.13800000000017E-05
17.320,14.100,-0.263,1.1E-05,8.25545000000017E-05
17.420,14.200,-0.262,1.2E-05,8.37520000000019E-05
17.520,14.300,-0.261,1.2E-05,8.4947000000002E-05
17.620,14.400,-0.26,1.2E-05,8.61350000000021E-05
17.720,14.500,-0.259,1.3E-05,8.73455000000022E-05
17.820,14.600,-0.258,1.3E-05,8.86175000000022E-05
17.920,14.700,-0.257,1.2E-05,8.98760000000021E-05
18.020,14.800,-0.256,1.4E-05,9.11500000000021E-05
18.120,14.900,-0.255,1.4E-05,9.2469000000002E-05
18.220,15.000,-0.254,1.1E-05,9.37705000000021E-05
18.320,15.100,-0.253,1.4E-05,9.5107000000002E-05
18.420,15.200,-0.252,1.3E-05,9.6474500000002E-05
18.520,15.300,-0.251,1.5E-05,9.78445000000019E-05
18.620,15.400,-0.25,1.4E-05,9.92290000000018E-05
18.720,15.500,-0.249,1.4E-05,0.000100632000000002
18.820,15.600,-0.248,1.5E-05,0.000102075500000002
18.920,15.700,-0.247,1.5E-05,0.000103546500000002
19.020,15.800,-0.246,1.5E-05,0.000105023500000002
19.120,15.900,-0.245,1.5E-05,0.000106511500000002
19.220,16.000,-0.244,1.6E-05,0.000108043000000002
19.320,16.100,-0.243,1.5E-05,0.000109573500000002
19.420,16.200,-0.242,1.5E-05,0.000111125500000002
19.520,16.300,-0.241,1.6E-05,0.000112709000000002
19.620,16.400,-0.24,1.7E-05,0.000114315500000002
19.720,16.500,-0.239,1.7E-05,0.000115995500000002
19.820,16.600,-0.238,1.7E-05,0.000117678500000002
19.920,16.700,-0.237,1.8E-05,0.000119387000000002
20.020,16.800,-0.236,1.7E-05,0.000121125500000002
20.120,16.900,-0.235,1.9E-05,0.000122875500000002
20.220,17.000,-0.234,1.8E-05,0.000124685000000002
20.320,17.100,-0.233,1.9E-05,0.000126487500000002
20.420,17.200,-0.232,1.8E-05,0.000128339000000002
20.520,17.300,-0.231,1.9E-05,0.000130184500000002
20.620,17.400,-0.23,2E-05,0.000132150000000002
20.720,17.500,-0.229,1.9E-05,0.000134118500000002
20.820,17.600,-0.228,2E-05,0.000136098000000002
20.920,17.700,-0.227,2E-05,0.000138095000000002
21.020,17.800,-0.226,2.1E-05,0.000140156500000002
21.120,17.900,-0.225,2.1E-05,0.000142263500000002
21.220,18.000,-0.224,2.1E-05,0.000144384500000002
21.320,18.100,-0.223,2.2E-05,0.000146546000000001
21.420,18.200,-0.222,2.3E-05,0.000148761500000001
21.520,18.300,-0.221,2.4E-05,0.000150992000000001
21.620,18.400,-0.22,2.3E-05,0.000153269500000001
21.720,18.500,-0.219,2.3E-05,0.000155586500000001
21.820,18.600,-0.218,2.4E-05,0.000157965000000002
21.920,18.700,-0.217,2.3E-05,0.000160302500000002
22.020,18.800,-0.216,2.4E-05,0.000162718000000002
22.120,18.900,-0.215,2.5E-05,0.000165178500000002
22.220,19.000,-0.214,2.5E-05,0.000167670500000002
22.320,19.100,-0.213,2.6E-05,0.000170186000000002
22.420,19.200,-0.212,2.7E-05,0.000172744500000003
22.520,19.300,-0.211,2.6E-05,0.000175352000000003
22.620,19.400,-0.21,2.7E-05,0.000177992500000003
22.720,19.500,-0.209,2.7E-05,0.000180702500000003
22.820,19.600,-0.208,2.8E-05,0.000183448000000003
22.920,19.700,-0.207,2.8E-05,0.000186246000000003
23.020,19.800,-0.206,2.7E-05,0.000189094500000003
23.120,19.900,-0.205,2.9E-05,0.000191992500000003
23.220,20.000,-0.204,3E-05,0.000194920000000003
23.320,20.100,-0.203,2.9E-05,0.000197894500000002
23.420,20.200,-0.202,3E-05,0.000200893000000002
23.520,20.300,-0.201,3.1E-05,0.000203969500000002
23.620,20.400,-0.2,3.2E-05,0.000207113000000002
23.720,20.500,-0.199,3.2E-05,0.000210277000000002
23.820,20.600,-0.198,3.2E-05,0.000213476000000002
23.920,20.700,-0.197,3.4E-05,0.000216732000000002
24.020,20.800,-0.196,3.2E-05,0.000220066000000002
24.120,20.900,-0.195,3.4E-05,0.000223478000000002
24.220,21.000,-0.194,3.4E-05,0.000226928000000002
24.320,21.100,-0.193,3.4E-05,0.000230406000000002
24.420,21.200,-0.192,3.7E-05,0.000233952500000002
24.520,21.300,-0.191,3.8E-05,0.000237583000000002
24.620,21.400,-0.19,3.9E-05,0.000241276500000002
24.720,21.500,-0.189,3.6E-05,0.000245007000000002
24.820,21.600,-0.188,3.9E-05,0.000248796500000002
24.920,21.700,-0.187,3.8E-05,0.000252650000000003
25.020,21.800,-0.186,4E-05,0.000256563000000003
25.120,21.900,-0.185,3.9E-05,0.000260501500000003
25.220,22.000,-0.184,4.1E-05,0.000264523500000003
25.320,22.100,-0.183,4.1E-05,0.000268611500000003
25.420,22.200,-0.182,4.2E-05,0.000272780000000003
25.520,22.300,-0.181,4.2E-05,0.000277008000000003
25.620,22.400,-0.18,4.3E-05,0.000281271500000003
25.720,22.500,-0.179,4.4E-05,0.000285576000000002
25.820,22.600,-0.178,4.4E-05,0.000289955000000001
25.920,22.700,-0.177,4.6E-05,0.000294393000000001
26.020,22.800,-0.176,4.4E-05,0.000298919000000001
26.120,22.900,-0.175,4.7E-05,0.000303524500000001
26.220,23.000,-0.174,4.8E-05,0.000308199
26.320,23.100,-0.173,4.7E-05,0.0003129525
26.420,23.200,-0.172,4.9E-05,0.000317742499999999
26.520,23.300,-0.171,4.9E-05,0.0003226365
26.620,23.400,-0.17,5E-05,0.000327569
26.720,23.500,-0.169,5E-05,0.00033259
26.820,23.600,-0.168,5.2E-05,0.000337632
